ISBN,Unformatted ISBN,Book Title,ISSN,Volume,Supplement,Series Title,Year,Available Online,Shortcut URL,Publication Type,Imprint
978-3-437-45117-1,9783437451171,FAQ Physiotherapie,,,,PHYSIOTHERAPIE-KG-MASSAGE,2025,2025/7/25,https://www.sciencedirect.com/science/book/9783437451171,Book,Urban &#x26; Fischer
978-0-323-87929-3,9780323879293,Specialty Contact Lenses,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780323879293,Book,Elsevier
978-0-443-14095-2,9780443140952,Handbook of Offshore Oil and Gas Operations (Second Edition),,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443140952,Book,Elsevier
978-0-443-13317-6,9780443133176,Methods of Mathematical Modeling,,,,Advanced Studies in Complex Systems,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443133176,Book,Academic Press
978-0-443-10940-9,9780443109409,Hematopathology (Fourth Edition),,,,Foundations in Diagnostic Pathology,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443109409,Book,Elsevier
978-0-323-54841-0,9780323548410,"Viral Outbreaks, Biosecurity, and Preparing for Mass Casualty Infectious Diseases Events",,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780323548410,Book,Elsevier
978-0-443-27378-0,9780443273780,"Advanced Nanomaterials in Biomedical Implants: Processing, Structures, Properties and, Applications",,,,Nanotechnology in Biomedicine,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443273780,Book,Elsevier
978-0-443-27398-8,9780443273988,Role of Sex and Gender in Aging and Longevity,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443273988,Book,Academic Press
978-0-443-23965-6,9780443239656,Air Pollution and Related Health Risks,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443239656,Book,Elsevier
978-0-443-24870-2,9780443248702,Advanced Structural  Analysis,,,,Woodhead Publishing Series in Civil and Structural Engineering,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443248702,Book,Woodhead Publishing
978-0-443-28975-0,9780443289750,Computational Biomechanics of Human Joints,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443289750,Book,Academic Press
978-0-443-40350-7,9780443403507,Azetidine Synthesis,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443403507,Book,Elsevier
978-0-443-29886-8,9780443298868,Undersea Fiber Communication Systems (Third Edition),,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443298868,Book,Academic Press
978-0-443-32998-2,9780443329982,Healthcare Frontiers in the Metaverse,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443329982,Book,Academic Press
978-0-443-31320-2,9780443313202,The Psychology of Romantic Relationships,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443313202,Book,Academic Press
978-0-443-32852-7,9780443328527,Regulated Cell Death in Neurodegenerative Disorders,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443328527,Book,Academic Press
978-0-443-33044-5,9780443330445,Data-Driven Insights and Analytics for Measurable Sustainable Development Goals,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443330445,Book,Morgan Kaufmann
978-0-443-21855-2,9780443218552,Sustainable Nanomaterials,,,,Micro and Nano Technologies,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443218552,Book,Elsevier
978-0-443-21887-3,9780443218873,Advanced Oxidation Process-Based Integrated and Hybrid Technologies for Degradation of Pharmaceuticals and Personal Care Products,,,,,2025,2025/7/25,https://www.sciencedirect.com/science/book/9780443218873,Book,Elsevier
978-0-443-42823-4,9780443428234,Advances in Biomembranes and Lipid Self-Assembly,2451-9634,42,,Advances in Biomembranes and Lipid Self-Assembly,2025,2025/7/23,https://www.sciencedirect.com/science/book/9780443428234,Book Series Volume,Academic Press
978-0-443-34501-2,9780443345012,Poole-Advances in Microbial Physiology V87,0065-2911,87,,Advances in Microbial Physiology,2025,2025/7/23,https://www.sciencedirect.com/science/book/9780443345012,Book Series Volume,Academic Press
978-0-443-29474-7,9780443294747,Method of Process Systems in Energy Systems: Emerging Energy Systems Part II,2468-6514,9,,Methods in Chemical Process Safety,2025,2025/7/23,https://www.sciencedirect.com/science/book/9780443294747,Book Series Volume,Elsevier
978-0-443-31782-8,9780443317828,Foundations of Literacy,0065-2407,69,,Advances in Child Development and Behavior,2025,2025/7/22,https://www.sciencedirect.com/science/book/9780443317828,Book Series Volume,JAI
978-0-443-42831-9,9780443428319,Advances in Imaging and Electron Physics,1076-5670,235,,Advances in Imaging and Electron Physics,2025,2025/7/21,https://www.sciencedirect.com/science/book/9780443428319,Book Series Volume,Elsevier
978-0-443-31444-5,9780443314445,Advances in Agronomy,0065-2113,194,,Advances in Agronomy,2025,2025/7/19,https://www.sciencedirect.com/science/book/9780443314445,Book Series Volume,Academic Press
978-0-443-43170-8,9780443431708,Primary Aldosteronism: Physiopathology and Diagnosis,0083-6729,130,,Vitamins and Hormones,2026,2025/7/18,https://www.sciencedirect.com/science/book/9780443431708,Book Series Volume,Academic Press
978-0-443-16106-3,9780443161063,"Mergers, Acquisitions, and Other Restructuring Activities (Twelfth Edition)",,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443161063,Book,Academic Press
978-0-443-12108-1,9780443121081,Atlas of Orthoses and Assistive Devices (Sixth Edition),,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443121081,Book,Elsevier
978-0-443-12105-0,9780443121050,Interventional Management of Pelvic Pain,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443121050,Book,Elsevier
978-0-443-26720-8,9780443267208,Edge Artificial Intelligence,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443267208,Book,Elsevier
978-0-443-23936-6,9780443239366,Internet of Things Cybersecurity in Critical Infrastructures,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443239366,Book,Elsevier
978-0-443-26749-9,9780443267499,"Water Use Efficiency, Sustainability and The Circular Economy",,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443267499,Book,Elsevier
978-0-443-29145-6,9780443291456,Data Science in Metal Forming,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443291456,Book,Elsevier
978-0-443-23688-4,9780443236884,Nanomaterials for Enhanced Plant-Based Food Production,,,,Nanomaterial-Plant Interactions,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443236884,Book,Academic Press
978-0-443-40294-4,9780443402944,Treatise on Process Metallurgy,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443402944,Book,Elsevier
978-0-443-26743-7,9780443267437,Applications of Metal-Organic Framework Composites,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443267437,Book,Elsevier
978-0-443-36486-0,9780443364860,Embracing the Complexity of Gender,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443364860,Book,Academic Press
978-0-443-33904-2,9780443339042,Mastering Prompt Engineering,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443339042,Book,Morgan Kaufmann
978-0-443-29260-6,9780443292606,Hydrogel Tissue Analogues,,,,Woodhead Publishing Series in Biomaterials,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443292606,Book,Woodhead Publishing
978-0-443-23518-4,9780443235184,Formulating and Implementing Pharmaceutical Pricing Policies,,,,,2025,2025/7/18,https://www.sciencedirect.com/science/book/9780443235184,Book,Academic Press
978-0-443-34371-1,9780443343711,Hypnosis: Part B,0074-7742,185,,International Review of Neurobiology,2025,2025/7/17,https://www.sciencedirect.com/science/book/9780443343711,Book Series Volume,Academic Press
978-0-443-43037-4,9780443430374,Advances in Ecological Research,0065-2504,73,,Advances in Ecological Research,2025,2025/7/17,https://www.sciencedirect.com/science/book/9780443430374,Book Series Volume,Academic Press
978-0-443-31398-1,9780443313981,Integrative Fish Biomechanics,1546-5098,41,,Fish Physiology,2025,2025/7/17,https://www.sciencedirect.com/science/book/9780443313981,Book Series Volume,Academic Press
978-0-443-31396-7,9780443313967,Viral Proteases,1874-6047,58,,The Enzymes,2025,2025/7/16,https://www.sciencedirect.com/science/book/9780443313967,Book Series Volume,Academic Press
978-0-443-22382-2,9780443223822,"Quantum Machine Learning (QML): Platform, Tools and Applications",0065-2458,140,,Advances in Computers,2026,2025/7/12,https://www.sciencedirect.com/science/book/9780443223822,Book Series Volume,Elsevier
978-0-443-42999-6,9780443429996,Advances in Clinical Chemistry,0065-2423,129,,Advances in Clinical Chemistry,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443429996,Book Series Volume,Elsevier
978-0-443-42997-2,9780443429972,Advances in Clinical Chemistry,0065-2423,128,,Advances in Clinical Chemistry,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443429972,Book Series Volume,Elsevier
978-2-294-78552-8,9782294785528,"Chirurgiens-Dentistes : Exercice étudiant, Installation et Vie Professionnelle",,,,,2024,2025/7/11,https://www.sciencedirect.com/science/book/9782294785528,Book,Elsevier Masson
978-2-294-78350-0,9782294783500,Rétinopathie diabétique (Troisième Édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294783500,Book,Elsevier Masson
978-2-294-78421-7,9782294784217,Conduites pratiques en médecine fœtale (Troisième Édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294784217,Book,Elsevier Masson
978-2-294-77932-9,9782294779329,Arrêter un traitement antidépresseur,,,,,2024,2025/7/11,https://www.sciencedirect.com/science/book/9782294779329,Book,Elsevier Masson
978-2-294-78683-9,9782294786839,Suivi therapeutique pharmacologique,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294786839,Book,Elsevier Masson
978-2-294-77855-1,9782294778551,Traité d'imagerie cardiovasculaire,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294778551,Book,Elsevier Masson
978-2-294-78804-8,9782294788048,Imagerie de l'accident vasculaire cérébral ischémique aigu,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294788048,Book,Elsevier Masson
978-2-294-78591-7,9782294785917,Santé au travail en médecine générale,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294785917,Book,Elsevier Masson
978-2-294-78566-5,9782294785665,Rétine : atlas des maladies du fond d'oeil,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294785665,Book,Elsevier Masson
978-2-294-78650-1,9782294786501,Nutrition clinique pratique,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294786501,Book,Elsevier Masson
978-2-294-78098-1,9782294780981,Pharmacologie à l'officine (Troisième édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294780981,Book,Elsevier Masson
978-2-294-78793-5,9782294787935,Suivi thérapeutique pharmacologique,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294787935,Book,Elsevier Masson
978-2-294-77614-4,9782294776144,Les Complications en Chirurgie Gynécologique,,,,,2023,2025/7/11,https://www.sciencedirect.com/science/book/9782294776144,Book,Elsevier Masson
978-2-294-78673-0,9782294786730,Guide de soins palliatifs,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294786730,Book,Elsevier Masson
978-2-294-78773-7,9782294787737,Analyse pratique du RCF: rythme cardiaque flœtal(Deuxième édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294787737,Book,Elsevier Masson
978-3-437-21211-6,9783437212116,Diabetes kompakt,,,,MONOGRAPHIE,2025,2025/7/11,https://www.sciencedirect.com/science/book/9783437212116,Book,Urban &#x26; Fischer
978-2-294-77317-4,9782294773174,Atlas anatomoclinique en ophtalmologie,,,,,2024,2025/7/11,https://www.sciencedirect.com/science/book/9782294773174,Book,Elsevier Masson
978-2-294-78608-2,9782294786082,Atlas d'anatomie générale et radiologique (Troisième Édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294786082,Book,Elsevier Masson
978-2-294-78712-6,9782294787126,La maladie de Parkinson (Cinquième Édition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294787126,Book,Elsevier Masson
978-2-294-78348-7,9782294783487,Médecine de la plongée,,,,,2024,2025/7/11,https://www.sciencedirect.com/science/book/9782294783487,Book,Elsevier Masson
978-2-294-78273-2,9782294782732,Gynécologie et obstétrique en médecine d'urgence,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294782732,Book,Elsevier Masson
978-2-294-77864-3,9782294778643,Guide de traumatologie en médecine d'urgence,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294778643,Book,Elsevier Masson
978-2-294-78790-4,9782294787904,La colposcopie,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9782294787904,Book,Elsevier Masson
978-3-437-55063-8,9783437550638,Leitfaden Chinesische Medizin - Therapie (Achte Ausgabe),,,,KLINIKLEITFADEN KIM,2025,2025/7/11,https://www.sciencedirect.com/science/book/9783437550638,Book,Urban &#x26; Fischer
978-0-443-18686-8,9780443186868,The Danube River and The Western Black Sea Coast,,,,Ecohydrology from Catchment to Coast,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443186868,Book,Elsevier
978-0-443-13476-0,9780443134760,Numerical Linear Algebra with Applications (Second Edition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443134760,Book,Academic Press
978-0-443-18484-0,9780443184840,Biotechnology (Third Edition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443184840,Book,Academic Cell
978-0-443-15743-1,9780443157431,Harmful Algal Blooms,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443157431,Book,Academic Press
978-0-443-18829-9,9780443188299,Cryo-electron Tomography,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443188299,Book,Academic Press
978-0-443-13633-7,9780443136337,Electrochemical Aptamer-Based Biosensors for Disease Biomarkers,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443136337,Book,Elsevier
978-0-443-13933-8,9780443139338,"Modern Dressing and Grinding Technologies, Volume 1",,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443139338,Book,Elsevier
978-0-443-28849-4,9780443288494,Handbook of Proteolytic Enzymes (Fourth Edition),,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443288494,Book,Academic Press
978-0-443-29892-9,9780443298929,Nanostructured Thin Film Deposition by Sputtering,,,,Woodhead Publishing Reviews: Mechanical Engineering Series,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443298929,Book,Woodhead Publishing
978-0-443-26476-4,9780443264764,Artificial Intelligence-Based Smart Healthcare  Systems,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443264764,Book,Academic Press
978-0-443-31562-6,9780443315626,Electrochemical Sensors and Biosensors,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443315626,Book,Elsevier
978-0-443-41467-1,9780443414671,"The Decentralized Hydrogen Revolution Using Artificial Intelligence, Internet of Things, and Blockchain",,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443414671,Book,Elsevier
978-0-443-27324-7,9780443273247,Biotic Stress Tolerance in Horticultural Crops,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443273247,Book,Woodhead Publishing
978-0-443-29843-1,9780443298431,Marine Specialized (Secondary) Metabolites and their Diverse Applications,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443298431,Book,Elsevier
978-0-443-24854-2,9780443248542,Design of Functional Polymer  Nanocomposites,,,,Woodhead Publishing Series in Composites Science and Engineering,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443248542,Book,Woodhead Publishing
978-0-443-30004-2,9780443300042,Narcolepsy,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443300042,Book,Academic Press
978-0-443-22092-0,9780443220920,Yarrowia Lipolytica Yeast,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443220920,Book,Academic Press
978-0-443-26769-7,9780443267697,Environmental Pollution and Cardiovascular Diseases,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443267697,Book,Academic Press
978-0-443-28989-7,9780443289897,Rubber Materials,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443289897,Book,Elsevier
978-0-443-22080-7,9780443220807,Microalgae and One Health,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443220807,Book,Academic Press
978-0-443-29060-2,9780443290602,Damage and Healing Mechanics of Materials,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443290602,Book,Elsevier
978-0-443-29853-0,9780443298530,Tilapia Farming,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443298530,Book,Academic Press
978-0-443-29991-9,9780443299919,Carbon Fluxes and Biophysical Variables from Earth Observation,,,,Earth Observation,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443299919,Book,Elsevier
978-0-443-21938-2,9780443219382,Recent Advances in Liver Cirrhosis Related Complications,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443219382,Book,Academic Press
978-0-443-29993-3,9780443299933,Handbook of Nature-Based Drought Solutions,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443299933,Book,Elsevier
978-0-443-23857-4,9780443238574,Advances in Process Control with Real Applications,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443238574,Book,Elsevier
978-0-443-21649-7,9780443216497,Evapotranspiration in Agro-Ecosystems and Forestry,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443216497,Book,Academic Press
978-0-443-36492-1,9780443364921,Reliable Non-Parametric Techniques for Energy System Operation and Control,,,,Advances in Intelligent Energy Systems,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443364921,Book,Elsevier
978-0-443-21816-3,9780443218163,Targeted Protein Degradation Technologies,,,,,2025,2025/7/11,https://www.sciencedirect.com/science/book/9780443218163,Book,Academic Press
978-0-443-41339-1,9780443413391,Electromagnetic Methods: Theory and Applications,0065-2687,66,,Advances in Geophysics,2025,2025/7/10,https://www.sciencedirect.com/science/book/9780443413391,Book Series Volume,Elsevier
978-0-443-43130-2,9780443431302,Handbook of Regional and Urban Economics,1574-0080,6,,Handbook of Regional and Urban Economics,2025,2025/7/9,https://www.sciencedirect.com/science/book/9780443431302,Book Series Volume,Elsevier
978-0-443-22401-0,9780443224010,"Cloud-native Architecture (CNA) and Artificial Intelligence (AI) for the Future of Software Engineering: The Principles, Patterns, Platforms and Practices",0065-2458,141,,Advances in Computers,2026,2025/7/5,https://www.sciencedirect.com/science/book/9780443224010,Book Series Volume,Elsevier
978-0-443-47192-6,9780443471926,Protein Termini - Part B,0076-6879,719,,Methods in Enzymology,2025,2025/7/5,https://www.sciencedirect.com/science/book/9780443471926,Book Series Volume,Academic Press
978-0-443-34497-8,9780443344978,"Parasitic Protozoa Membranes: Structure, Singularities and Host-Pathogen Interaction",1063-5823,95,,Current Topics in Membranes,2025,2025/7/5,https://www.sciencedirect.com/science/book/9780443344978,Book Series Volume,Academic Press
978-0-443-41483-1,9780443414831,Protein Termini - Part A,0076-6879,718,,Methods in Enzymology,2025,2025/7/5,https://www.sciencedirect.com/science/book/9780443414831,Book Series Volume,Academic Press
978-0-443-43051-0,9780443430510,Transketolases,0076-6879,722,,Methods in Enzymology,2025,2025/7/5,https://www.sciencedirect.com/science/book/9780443430510,Book Series Volume,Academic Press
978-0-443-41573-9,9780443415739,Artificial Metalloproteins,0076-6879,720,,Methods in Enzymology,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443415739,Book Series Volume,Academic Press
978-0-443-34268-4,9780443342684,Electrification and the Future of Decentralized Electricity Supply,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443342684,Book,Elsevier
978-0-443-23616-7,9780443236167,Photocatalytic Perovskite Materials,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443236167,Book,Elsevier
978-0-443-31520-6,9780443315206,Autoimmune Hemolytic Anemias,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443315206,Book,Academic Press
978-0-443-23663-1,9780443236631,Machine Learning in Geohazard Risk Prediction and Assessment,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443236631,Book,Elsevier
978-0-443-29244-6,9780443292446,Quaternion-Based Sparse Image Processing,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443292446,Book,Elsevier
978-0-443-31322-6,9780443313226,Distribution System Modeling with Distributed Energy Resources,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443313226,Book,Elsevier
978-0-443-31540-4,9780443315404,Engineered Polyvinyl Pyrrolidone Products by Microwave Techniques,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443315404,Book,Elsevier
978-0-443-26518-1,9780443265181,3D Bioprinting in Cancer Applications,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443265181,Book,Academic Press
978-0-443-34237-0,9780443342370,Intelligent Shield Machines,,,,,2025,2025/7/4,https://www.sciencedirect.com/science/book/9780443342370,Book,Elsevier
978-0-443-13617-7,9780443136177,"Reproductive Immunogenetics: A Molecular and Clinical Overview, Vol. 3",,,,,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443136177,Book,Academic Press
978-0-443-18522-9,9780443185229,Microchemical Engineering and Technology,,,,Chemical Process Intensification,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443185229,Book,Elsevier
978-0-443-13657-3,9780443136573,Reproductive Immunogenetics: A Molecular and Clinical Overview,,,,,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443136573,Book,Academic Press
978-0-443-29100-5,9780443291005,The Science of Tequila,,,,,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443291005,Book,Academic Press
978-0-443-28949-1,9780443289491,Energy Efficiency in Critical Times,,,,,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443289491,Book,Elsevier
978-0-443-31694-4,9780443316944,Stochastic Modeling and Statistical Methods,,,,Advances in Reliability Science,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443316944,Book,Academic Press
978-0-443-33580-8,9780443335808,Depressive and Bipolar Disorders,,,,,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443335808,Book,Academic Press
978-0-443-28907-1,9780443289071,Bradykinin,,,,Molecular Mediators in Health and Disease: How Cells Communicate,2025,2025/6/30,https://www.sciencedirect.com/science/book/9780443289071,Book,Academic Press
978-0-443-34739-9,9780443347399,"Biosensing the Future: Wearable, Ingestible and Implantable Technologies for Health and Wellness Monitoring Part B",1877-1173,216,,Progress in Molecular Biology and Translational Science,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443347399,Book Series Volume,Academic Press
978-0-443-31394-3,9780443313943,Fungal and Protozoan Carbonic Anhydrases,1874-6047,57,,The Enzymes,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443313943,Book Series Volume,Academic Press
978-0-443-41791-7,9780443417917,Taxonomic Impediments of the Benthic Infauna; Potential Solutions and Consequences,0065-2881,101,,Advances in Marine Biology,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443417917,Book Series Volume,Academic Press
978-0-323-95705-2,9780323957052,Encyclopedia of the Neurological Sciences (Third Edition),,,,,2025,2025/6/27,https://www.sciencedirect.com/science/referenceworks/9780323957052,Reference Work,Academic Press
978-0-323-91649-3,9780323916493,Managed Pressure Drilling,,,,Gulf Drilling Guides,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780323916493,Book,Elsevier
978-0-443-10559-3,9780443105593,Evaluation and Management of Hip and Knee Arthritis in Women,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443105593,Book,Elsevier
978-0-443-11760-2,9780443117602,Pediatric Gastrointestinal and Liver Disease (Seventh Edition),,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443117602,Book,Elsevier
978-0-443-13402-9,9780443134029,Smart City Code,,,,Smart Cities,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443134029,Book,Elsevier
978-0-443-18606-6,9780443186066,Magnetoelectric Composites (Second Edition),,,,Woodhead Publishing Series in Electronic and Optical Materials,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443186066,Book,Woodhead Publishing
978-0-443-13537-8,9780443135378,Metals as Clean Fuels,,,,Acta Materialia Book Series,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443135378,Book,Elsevier
978-0-443-13482-1,9780443134821,Intelligent Data Analytics for Solar Energy Prediction and Forecasting,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443134821,Book,Elsevier
978-0-443-26574-7,9780443265747,Integrated Planning for Sustainable Resilient Regions,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443265747,Book,Elsevier
978-0-443-29096-1,9780443290961,Quantum Computing,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443290961,Book,Morgan Kaufmann
978-0-443-33631-7,9780443336317,Computational Methods for Time-Series Analyses in Earth Sciences,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443336317,Book,Elsevier
978-0-443-29890-5,9780443298905,The Cardiovascular System,,,,Stem Cell Innovation in Health & Disease,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443298905,Book,Academic Press
978-0-443-33675-1,9780443336751,Spatio-Temporal Learning and Monitoring for Complex Dynamic Processes with Irregular Data,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443336751,Book,Academic Press
978-0-443-27570-8,9780443275708,A Unified Hardening Constitutive Theory for Soils,,,,Woodhead Publishing Series in Civil and Structural Engineering,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443275708,Book,Woodhead Publishing
978-0-443-34160-1,9780443341601,Intelligent Urban Mobility,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443341601,Book,Academic Press
978-0-443-33024-7,9780443330247,"Computational Methods in Medicinal Chemistry, Pharmacology, and Toxicology",,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443330247,Book,Academic Press
978-0-443-30252-7,9780443302527,Bioinformatics Essentials,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443302527,Book,Academic Press
978-0-443-21913-9,9780443219139,Tactile Robotics,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443219139,Book,Academic Press
978-0-443-34001-7,9780443340017,The Mastery of Bile Duct Injury,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443340017,Book,Academic Press
978-0-443-27342-1,9780443273421,Wastes to Low-Carbon Construction Materials,,,,Woodhead Publishing Series in Civil and Structural Engineering,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443273421,Book,Woodhead Publishing
978-0-443-34017-8,9780443340178,Smart Infrastructure Management,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443340178,Book,Elsevier
978-0-443-32856-5,9780443328565,Artificial Intelligence Innovations for Biomedical Engineering and Healthcare,,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443328565,Book,Academic Press
978-0-443-29158-6,9780443291586,Numerical Modeling of Turbulent Combustion,,,,Computation and Analysis of Turbulent Flows,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443291586,Book,Academic Press
978-0-443-29204-0,9780443292040,Massive MIMO in Practice (Second Edition),,,,,2025,2025/6/27,https://www.sciencedirect.com/science/book/9780443292040,Book,Academic Press
978-0-443-15755-4,9780443157554,Learning and Memory: A Comprehensive Reference (Third Edition),,,,,2025,2025/6/26,https://www.sciencedirect.com/science/referenceworks/9780443157554,Reference Work,Academic Press
978-0-443-13777-8,9780443137778,"Encyclopedia of Monetary Policy, Financial Markets and Banking (First Edition)",,,,,2025,2025/6/26,https://www.sciencedirect.com/science/referenceworks/9780443137778,Reference Work,Academic Press
